customer_id,customer_name,age,gender,city,email,phone
1,Customer_1,58,Male,Vijayawada,user1@example.com,9846913810
2,Customer_2,33,Male,Chennai,user2@example.com,9823756669
3,Customer_3,61,Female,Vijayawada,user3@example.com,9814265799
4,Customer_4,19,Male,Vijayawada,user4@example.com,9841227216
5,Customer_5,50,Male,Hyderabad,user5@example.com,9897226012
6,Customer_6,62,Male,Delhi,user6@example.com,9870291817
7,Customer_7,55,Male,Bengaluru,user7@example.com,9831429110
8,Customer_8,62,Female,Delhi,user8@example.com,9847295260
9,Customer_9,27,Female,Chennai,user9@example.com,9823718431
10,Customer_10,23,Male,Delhi,user10@example.com,9858181396
11,Customer_11,40,Male,Bengaluru,user11@example.com,9871662963
12,Customer_12,52,Female,Vijayawada,user12@example.com,9820576383
13,Customer_13,53,Female,Bengaluru,user13@example.com,9887490893
14,Customer_14,30,Male,Vijayawada,user14@example.com,9898753260
15,Customer_15,32,Male,Bengaluru,user15@example.com,9841244663
16,Customer_16,24,Female,Delhi,user16@example.com,9870855700
17,Customer_17,58,Male,Mumbai,user17@example.com,9859684848
18,Customer_18,40,Female,Chennai,user18@example.com,9896977837
19,Customer_19,22,Male,Visakhapatnam,user19@example.com,9831931511
20,Customer_20,47,Female,Delhi,user20@example.com,9895899313
21,Customer_21,62,Female,Chennai,user21@example.com,9817507864
22,Customer_22,32,Female,Hyderabad,user22@example.com,9863843426
23,Customer_23,35,Male,Vijayawada,user23@example.com,9886125617
24,Customer_24,63,Male,Mumbai,user24@example.com,9897971488
25,Customer_25,49,Female,Delhi,user25@example.com,9829175900
26,Customer_26,34,Male,Visakhapatnam,user26@example.com,9885345555
27,Customer_27,52,Female,Bengaluru,user27@example.com,9888320463
28,Customer_28,43,Male,Mumbai,user28@example.com,9828566572
29,Customer_29,50,Male,Pune,user29@example.com,9816323852
30,Customer_30,25,Male,Visakhapatnam,user30@example.com,9866661351
31,Customer_31,56,Female,Vijayawada,user31@example.com,9861220073
32,Customer_32,56,Female,Pune,user32@example.com,9884252722
33,Customer_33,18,Female,Vijayawada,user33@example.com,9896028436
34,Customer_34,39,Female,Vijayawada,user34@example.com,9868353204
35,Customer_35,28,Male,Pune,user35@example.com,9845351479
36,Customer_36,50,Male,Visakhapatnam,user36@example.com,9893926371
37,Customer_37,37,Male,Chennai,user37@example.com,9860185867
38,Customer_38,28,Female,Hyderabad,user38@example.com,9875579548
39,Customer_39,19,Female,Vijayawada,user39@example.com,9851273847
40,Customer_40,33,Male,Hyderabad,user40@example.com,9886149359
41,Customer_41,23,Female,Vijayawada,user41@example.com,9819289546
42,Customer_42,52,Male,Visakhapatnam,user42@example.com,9898550256
43,Customer_43,48,Female,Visakhapatnam,user43@example.com,9880823176
44,Customer_44,56,Male,Delhi,user44@example.com,9882383095
45,Customer_45,64,Female,Chennai,user45@example.com,9863551839
46,Customer_46,60,Female,Mumbai,user46@example.com,9879467853
47,Customer_47,46,Male,Vijayawada,user47@example.com,9840158366
48,Customer_48,22,Male,Mumbai,user48@example.com,9888961459
49,Customer_49,53,Male,Chennai,user49@example.com,9810965138
